TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
PA|20080712:1|62388560:1|36688959:1|8765316:1|16167693:1|29208599:1|48576437:1|78291741:1|44649405:1|42674302:1|54980854:1|43800819:1|30893575:1|19088897:1|27267427:1|25124321:1|24331779:1|66676319:1|29717573:1|50184169:1|5438541:1|10484085:1|61393171:1|2883813:1|69446762:1|49498938:1|28730279:1|43592528:1|35850473:1|33133609:1|12235316:1|45947453:1|1413461:1|21952019:1|72290152:1|37325643:1|79522454:1|25274193:1|20103882:1|74652677:1|25946853:1|46715258:1|40590016:1|19301771:1|69423324:1|16587390:1|37646521:1|26454614:1|26910323:1|40873435:1
NA|62712994:2|17875347:2|69591729:1|70427881:1|78055036:1|55841540:1|20653774:1|44200053:1|14889728:1|75809669:1|42242851:1|23936907:1|54195012:1|59786024:1|26166665:1|14041516:1|18998341:1|43925055:1|56455042:1|35141695:1|76924431:1|66777322:1|62748483:1|45590753:1|65213239:1|67717126:1|51769809:1|75559114:1|2227041:1|43580799:1|56330672:1|31528630:1|50738679:1|52763462:1|32418047:1|15954293:1|22258162:1|63724293:1|71891387:1|37678321:1|62878049:1|23768538:1|72262477:1|33757046:1|34803752:1|27602691:1|16811238:1|34450106:1|72251771:1|43778868:1
BS|17986136:1|68023287:1|59877381:1|56688935:1|8606644:1|56361274:1|6737295:1|56725913:1|52440796:1|72040575:1|60362125:1|26917241:1|44613000:1|72553638:1|26227305:1|41143287:1|32396128:1|5030277:1|35923465:1|31842910:1|34342207:1|37436497:1|18166670:1|59261812:1|42638752:1|10337034:1|34748711:1|45101239:1|78094936:1|12860536:1|9485171:1|618340:1|54734193:1|29999170:1|54758267:1|48993238:1|40425904:1|12672129:1|13468739:1|65918206:1|27490275:1|76308438:1|45164040:1|32272899:1|15901103:1|72267502:1|76986872:1|34488169:1|57387620:1|71429258:1
PG|75313251:2|5082351:2|16477640:1|73371103:1|35185669:1|49181824:1|63991367:1|65272005:1|1756457:1|37079219:1|74222664:1|53376776:1|21005599:1|23774294:1|8141427:1|10015977:1|54591952:1|42449044:1|7365167:1|74143268:1|28264681:1|32223655:1|32847129:1|53955370:1|46713736:1|69458555:1|43181683:1|25948330:1|34492818:1|71181059:1|41114055:1|6146185:1|77322047:1|22872509:1|65520006:1|31275330:1|36466028:1|53321913:1|45606032:1|30482373:1|53622922:1|39954153:1|36731851:1|7576125:1|74009009:1|28249351:1|5493713:1|21671122:1|40248791:1|45294137:1
RW|71675897:1|68196766:1|17238118:1|35992398:1|17900236:1|66174022:1|15925154:1|45475177:1|76375326:1|8662310:1|3442157:1|35717166:1|72628509:1|2187507:1|30605638:1|44792753:1|52273623:1|526914:1|53477889:1|38242951:1|2719155:1|20938891:1|44024378:1|1888367:1|33012654:1|26641642:1|49499368:1|19052786:1|18668433:1|75119297:1|78541398:1|73794796:1|45419255:1|1555156:1|77542134:1|31428330:1|2069906:1|74162836:1|71541287:1|67806513:1|34342324:1|3466637:1|43722776:1|10048241:1|18176543:1|2608672:1|38512116:1|44555104:1|35399211:1|18541883:1
BI|37230261:1|40028448:1|20114227:1|69197655:1|64346308:1|64526373:1|38013564:1|79123957:1|3288626:1|56963625:1|29317282:1|55837581:1|77023095:1|26446010:1|76596661:1|22928253:1|35338522:1|12461767:1|40375737:1|36018859:1|55746503:1|45305625:1|61200064:1|32169564:1|5063729:1|49614651:1|58245442:1|33471351:1|47236223:1|49325293:1|17040096:1|19031738:1|18865203:1|13178766:1|55844058:1|66432611:1|24893602:1|60368791:1|40568588:1|61357207:1|40369155:1|4372004:1|21512788:1|13248477:1|45123093:1|67658146:1|331296:1|24137950:1|31856432:1|66234005:1
PE|5008804:1|74607211:1|66561289:1|78825392:1|279742:1|33047504:1|35411051:1|29941441:1|40825798:1|18436795:1|11006859:1|36295070:1|67299199:1|71356519:1|25885215:1|11712026:1|77687375:1|24421423:1|13640111:1|32318219:1|65555615:1|3103239:1|39787316:1|67042559:1|62091570:1|9984146:1|45502215:1|13162762:1|43530843:1|71191577:1|7557093:1|15869438:1|30731386:1|72957546:1|78362855:1|25594006:1|21852957:1|65023068:1|7588959:1|2193192:1|67827840:1|22305082:1|65537188:1|55810689:1|57783996:1|51340278:1|57462714:1|69612009:1|70659815:1|21000330:1
TM|69428287:1|29224014:1|25438536:1|44789139:1|48516600:1|11809159:1|23729642:1|67768000:1|20222255:1|14495904:1|36646899:1|67419158:1|38089933:1|1971794:1|12682002:1|39188967:1|46474661:1|3484167:1|74888821:1|55535066:1|78507639:1|18362985:1|75259142:1|25915987:1|699715:1|45284699:1|3806981:1|41470356:1|75846654:1|59442138:1|48729289:1|42649820:1|71895378:1|70071268:1|75043630:1|58805943:1|15138636:1|36586131:1|58929725:1|53227354:1|72298292:1|2335741:1|67664882:1|5012243:1|16038207:1|63956782:1|37860070:1|4167804:1|79408298:1|63380307:1
BM|27065488:1|23805843:1|29848895:1|33231060:1|3332253:1|76529860:1|39013470:1|55637178:1|5149483:1|32376173:1|71871707:1|28636171:1|70383878:1|71304957:1|41899778:1|15114657:1|8226902:1|2747589:1|62745798:1|10477366:1|12755461:1|22034806:1|67309269:1|14857558:1|54563660:1|21300851:1|3372859:1|329970:1|76001933:1|66337031:1|42940454:1|49737280:1|69492239:1|76602859:1|75659819:1|9924760:1|74518003:1|21711929:1|61657549:1|40902376:1|65713646:1|60884245:1|62080049:1|8860123:1|76974375:1|46051491:1|76934610:1|16364602:1|37391760:1|56099217:1
ST|34797361:1|24509204:1|16564932:1|15699976:1|42141800:1|41254211:1|13717585:1|61269393:1|77466050:1|21890158:1|76871306:1|59207497:1|27965030:1|29478407:1|28444740:1|22995064:1|61002126:1|71578035:1|72320213:1|47506839:1|25196271:1|15892120:1|57189010:1|31387706:1|63364462:1|5369891:1|39671606:1|56127835:1|15253395:1|3589750:1|65210235:1|25918971:1|51292468:1|67043685:1|53785310:1|8543828:1|19734958:1|52783244:1|36951852:1|49576642:1|56948296:1|26171673:1|61625058:1|43337908:1|27172049:1|18303742:1|63074401:1|25138138:1|1883359:1|19673552:1
GT|41137134:1|22749710:1|7243713:1|77570601:1|5134735:1|29737303:1|15703382:1|53187285:1|52584819:1|27192790:1|22945587:1|46374335:1|33882288:1|78672966:1|13815239:1|21432599:1|41370754:1|39594851:1|51443268:1|41285209:1|34385957:1|63956387:1|10980040:1|72017469:1|38051735:1|45271048:1|55447821:1|48147044:1|30349215:1|45282195:1|37454242:1|1606855:1|70516986:1|8355512:1|67827123:1|14993858:1|329056:1|8591795:1|74462042:1|15744288:1|34142112:1|11373736:1|4367577:1|1901674:1|44166529:1|21524407:1|17717105:1|59679251:1|65019349:1|18598422:1
IS|36521628:1|57435260:1|63869552:1|5273927:1|51111697:1|77994250:1|73423438:1|52503566:1|28876349:1|48532692:1|74170931:1|22622996:1|28132984:1|72864341:1|71417478:1|50121484:1|689002:1|3345406:1|2249107:1|4476328:1|5505806:1|47895004:1|48742712:1|8874103:1|24907642:1|10867716:1|60504903:1|70647866:1|37455230:1|76449247:1|9744476:1|57876736:1|34432622:1|51198251:1|33611388:1|42857383:1|11190290:1|11494713:1|13595584:1|39005372:1|40510439:1|44209173:1|3783250:1|32910617:1|44586334:1|27601741:1|17837729:1|30186057:1|49256241:1|78334424:1
HU|9379491:1|56440911:1|38712878:1|44620829:1|31054210:1|2862547:1|51968409:1|25968774:1|44477153:1|30669340:1|691388:1|68270620:1|29775879:1|51136058:1|55046228:1|23681541:1|39399911:1|79828396:1|58475754:1|31311689:1|45364701:1|77800898:1|23805693:1|79349182:1|70847346:1|14431317:1|37519600:1|1755763:1|61374135:1|56417868:1|16942026:1|26880757:1|5626483:1|73397280:1|31764493:1|33457206:1|36055651:1|54028451:1|29770474:1|20672335:1|38422297:1|24248198:1|25017765:1|38704856:1|41503763:1|15886035:1|23870040:1|4771547:1|18238725:1|79430198:1
BA|19574045:1|57786779:1|1257949:1|55171962:1|62521791:1|27614432:1|64158138:1|77638382:1|11447690:1|11123977:1|20305074:1|76989325:1|68478573:1|41274515:1|6892220:1|27321927:1|18105929:1|25106687:1|2533545:1|38020840:1|58085618:1|62331720:1|17767424:1|53777158:1|19227763:1|70928897:1|63006145:1|3467061:1|49363349:1|28688305:1|37713489:1|54947058:1|54483995:1|24107990:1|46142229:1|32333927:1|59575316:1|27670523:1|21315624:1|65850561:1|67627493:1|14956735:1|14257453:1|508393:1|17348515:1|13206280:1|61575320:1|20505626:1|65825824:1|37525843:1
BQ|78203967:1|60882358:1|66804435:1|7277630:1|36801638:1|58071657:1|10687733:1|40148964:1|57087235:1|47772453:1|2731440:1|49179560:1|58022908:1|17174905:1|44104342:1|38211570:1|72627020:1|34368042:1|25302826:1|66777592:1|76246997:1|17672064:1|10988022:1|6793490:1|27522201:1|1985022:1|40652657:1|27998086:1|71638799:1|15817119:1|11300795:1|9967066:1|22725668:1|8068993:1|36780907:1|12054230:1|75942301:1|2888271:1|66782473:1|63859140:1|35356402:1|17350704:1|78009245:1|46613136:1|27438278:1|27990569:1|61647665:1|42368145:1|69489762:1|78454015:1
AI|42730605:1|46798107:1|21913333:1|43204601:1|77244786:1|75892152:1|39401368:1|50647423:1|45427124:1|34490805:1|6805985:1|54096282:1|60947380:1|13861100:1|75237015:1|71713361:1|55404802:1|79887318:1|32274962:1|35503844:1|32571201:1|9135890:1|5320340:1|43689745:1|36071839:1|517660:1|591051:1|79889885:1|47763539:1|19953687:1|11556326:1|25940830:1|7314533:1|62698887:1|7819098:1|10880022:1|10522025:1|62949821:1|79946556:1|43274912:1|67428300:1|9100405:1|13669537:1|73042322:1|17702734:1|55054615:1|1799446:1|30849542:1|38448495:1|64211512:1
DO|67773419:1|14042081:1|38977440:1|27868527:1|39294260:1|25017063:1|53046460:1|73126443:1|69454218:1|34856591:1|54154454:1|51627883:1|54363595:1|20626644:1|37455579:1|35402267:1|8766928:1|75349810:1|45981221:1|57381133:1|61495732:1|76744821:1|23942909:1|16862482:1|70495690:1|12219358:1|26131223:1|67647566:1|484284:1|13173127:1|54818079:1|1533306:1|25009337:1|71413194:1|6498405:1|58252903:1|16740154:1|78177703:1|65555264:1|35565718:1|11908074:1|41341144:1|6971905:1|16972851:1|422421:1|69636456:1|69494677:1|1686236:1|41611020:1|26448042:1
BN|15646643:2|77360823:1|74306770:1|4772431:1|63079657:1|46796555:1|10152790:1|42398052:1|22632048:1|22885178:1|28367806:1|54833685:1|58434747:1|23720141:1|12209599:1|67036682:1|54716638:1|59518366:1|49091365:1|52733389:1|38265931:1|48933957:1|70741438:1|30186013:1|77009471:1|60224866:1|18369423:1|7896409:1|14729235:1|18908807:1|63185790:1|1226859:1|69915266:1|51061197:1|56072212:1|21165521:1|40486407:1|52434436:1|35845821:1|28652056:1|47610641:1|21498648:1|11612405:1|70105001:1|55287955:1|54455315:1|30109657:1|62286134:1|53316693:1|53989185:1
SZ|28557454:1|17834236:1|3161534:1|69326982:1|58719611:1|381650:1|68026030:1|16546592:1|62813032:1|7929374:1|49116830:1|19201685:1|42216574:1|70702318:1|34742279:1|3091194:1|4273156:1|32726672:1|39745104:1|79977715:1|6787260:1|25566320:1|21581611:1|39404810:1|56056166:1|42469501:1|71587816:1|26796431:1|16822699:1|8882594:1|57952727:1|17132096:1|25319503:1|54270715:1|29102202:1|78153443:1|28096843:1|39979631:1|29941562:1|45572098:1|54368513:1|69107849:1|7273863:1|10126314:1|62001565:1|62653804:1|70441004:1|38379105:1|5675362:1|71921007:1
SB|51315645:1|76413923:1|78011353:1|23248858:1|2698366:1|47424336:1|33218654:1|12654623:1|9923160:1|64913082:1|38431432:1|30701024:1|22123465:1|20725345:1|37641164:1|63973575:1|30985671:1|48091721:1|17894665:1|51797367:1|3774600:1|5225500:1|54211370:1|60619657:1|58972048:1|30073868:1|61052383:1|21846087:1|36312536:1|70958170:1|12953158:1|78359201:1|48344483:1|16381862:1|52295335:1|68684547:1|79203107:1|40911827:1|44075120:1|15228750:1|47055389:1|35392086:1|63755281:1|7385502:1|59007955:1|51241243:1|17492330:1|62612788:1|38979291:1|76508351:1
LI|35436953:1|26277862:1|21506801:1|61934873:1|75827080:1|26783961:1|43696082:1|44135463:1|30595437:1|18310495:1|48471856:1|32180933:1|17845426:1|3185738:1|33762141:1|1307534:1|26149931:1|13070091:1|15843446:1|39289468:1|69984250:1|20444601:1|39281664:1|54435150:1|53820926:1|51105261:1|12007485:1|65354163:1|25628983:1|18666548:1|29791440:1|1541691:1|47917357:1|26769509:1|73826365:1|15227940:1|59839330:1|9684941:1|33563843:1|58004822:1|22140067:1|44470753:1|47332312:1|34151255:1|46224490:1|19675271:1|36529804:1|20298658:1|13792456:1|17481959:1
VE|25415799:1|36295938:1|12253507:1|73358449:1|63376743:1|30160721:1|51319618:1|32325565:1|9062838:1|18710476:1|26573808:1|5113269:1|51672450:1|24193296:1|37369114:1|46444384:1|9938666:1|63142574:1|35486350:1|32826283:1|5642491:1|47201406:1|45697834:1|48553559:1|71628810:1|45226449:1|28128595:1|65296503:1|35571037:1|69148564:1|23820875:1|2024347:1|46212884:1|76013354:1|5360974:1|7002534:1|35566962:1|29171879:1|34756102:1|5628271:1|19633572:1|9476690:1|21089992:1|31871409:1|27584895:1|32960104:1|39283906:1|6526352:1|11836371:1|24242673:1
VN|58903403:1|75129247:1|42500699:1|1922064:1|23659655:1|24709425:1|32362182:1|72982609:1|61110505:1|16806641:1|2517298:1|4504695:1|49701175:1|60805418:1|22481089:1|46776686:1|13597930:1|47825445:1|49153460:1|36268976:1|7793522:1|31447691:1|50647142:1|22277547:1|66707212:1|16097674:1|42172769:1|10347085:1|59766127:1|7795874:1|73863227:1|41768008:1|52651754:1|43348916:1|27912214:1|9252172:1|63439832:1|25311395:1|63538287:1|11658496:1|74032622:1|60720253:1|69182447:1|15443257:1|7383996:1|51032443:1|43248908:1|41155053:1|76560116:1|27374274:1
YT|15006120:1|12485911:1|55680526:1|34851503:1|21505335:1|77615117:1|44976236:1|79193315:1|29129854:1|27782691:1|49121246:1|30517372:1|35493733:1|60383467:1|4760853:1|67193945:1|13705251:1|79583162:1|73599533:1|62550747:1|8635860:1|64771683:1|52268746:1|46977601:1|32612654:1|5360770:1|7398042:1|45232147:1|11747444:1|41192789:1|16030706:1|76544012:1|20567568:1|27471525:1|65262963:1|65863287:1|55101735:1|27469110:1|46636366:1|10694365:1|30828410:1|58285768:1|43374838:1|6657398:1|9730871:1|20687827:1|27988740:1|56169875:1|69854899:1|47040784:1
LU|40364830:1|33124262:1|69089400:1|20812706:1|23911768:1|19651298:1|20591754:1|8043555:1|12390543:1|53720400:1|66712749:1|70451073:1|64171945:1|35517803:1|24563803:1|58623896:1|48936922:1|35908948:1|52680500:1|27596737:1|45593526:1|68269497:1|56032428:1|10546130:1|78671486:1|38502818:1|78544218:1|31288023:1|50176965:1|43629560:1|64871013:1|58476654:1|76350091:1|33285236:1|775530:1|38739315:1|16403645:1|25818123:1|32753516:1|7475058:1|20107641:1|1879673:1|49332927:1|3668299:1|54309432:1|38342293:1|74785716:1|6040838:1|70309281:1|57083897:1
PK|70908098:1|31969495:1|26488378:1|68072221:1|71340959:1|27281641:1|14703220:1|76505849:1|42871645:1|32289751:1|62100938:1|45732416:1|75779481:1|16224698:1|2975294:1|32734821:1|79634608:1|24580272:1|2660795:1|10245111:1|930694:1|13416775:1|64000095:1|16420109:1|63323092:1|51333396:1|78580145:1|78850043:1|2171133:1|54226616:1|40417811:1|4807238:1|77310903:1|3191976:1|67321676:1|6239059:1|45532414:1|48414197:1|13336322:1|44917340:1|29347466:1|72279981:1|65600641:1|65486352:1|35799261:1|48326598:1|33269237:1|33995717:1|17853382:1|18716150:1
JM|15465930:1|74633307:1|58866352:1|45534715:1|15364124:1|11099180:1|71106995:1|56032664:1|67879719:1|62981655:1|42770978:1|54553614:1|74884220:1|21943099:1|7400810:1|61119869:1|13464073:1|62266032:1|51262802:1|47231032:1|21965008:1|21888561:1|56316426:1|2794426:1|31111521:1|72730966:1|21185080:1|54250396:1|71323685:1|67069465:1|72128951:1|50580877:1|30623425:1|25050626:1|38173810:1|62806648:1|3749137:1|77134766:1|22499109:1|8120045:1|71525212:1|66467868:1|31073399:1|51757748:1|53387862:1|77672470:1|44923920:1|36193330:1|14546973:1|1808344:1
BB|71932791:1|48833139:1|63376553:1|62134307:1|7404184:1|52848500:1|74461293:1|57673546:1|12828718:1|58692937:1|68258327:1|74565715:1|37204489:1|76615339:1|36207344:1|43130210:1|34577083:1|24388548:1|70691821:1|70147315:1|54306527:1|4975202:1|11847947:1|4464815:1|62860015:1|54120675:1|70608398:1|63685508:1|17428748:1|7400297:1|26426199:1|63855772:1|15961489:1|31620433:1|66576955:1|12770817:1|16815512:1|35824745:1|17037465:1|64347932:1|70317360:1|35064054:1|27849509:1|35029470:1|6865287:1|63551137:1|75184215:1|48913106:1|3366352:1|60101393:1
DK|79456545:1|61002361:1|41173460:1|46059582:1|28140231:1|16965544:1|16293904:1|38575808:1|40066378:1|74593076:1|59356298:1|18895549:1|36995684:1|47714720:1|55926394:1|3814678:1|59635609:1|70807149:1|31189970:1|4049004:1|30598970:1|44268364:1|60964429:1|55832008:1|32106703:1|41784150:1|78901428:1|33651107:1|58798198:1|67518104:1|35630556:1|55779638:1|74508385:1|6274784:1|28862981:1|28816270:1|61320700:1|5219454:1|28188777:1|13498876:1|34179680:1|54998766:1|78249996:1|63273948:1|44105879:1|49299828:1|4931956:1|18943893:1|18491025:1|26628958:1
ZA|49857366:2|61716870:1|15991603:1|2662432:1|61920591:1|19997448:1|79345550:1|49843653:1|61449900:1|45759915:1|57192596:1|72571906:1|25714039:1|11726508:1|3379181:1|65047150:1|62396461:1|12518366:1|58862391:1|79091073:1|10309009:1|35451155:1|1014039:1|5415951:1|16298868:1|25117863:1|56185078:1|33125252:1|3346594:1|28605733:1|8661129:1|56031711:1|1039419:1|23331455:1|24470661:1|30019506:1|79599819:1|49625688:1|6713491:1|8716605:1|52673478:1|52694909:1|39192392:1|18039181:1|18915902:1|15306868:1|16046806:1|52073101:1|31515351:1|996072:1
TC|37502005:1|21039938:1|4262222:1|48271166:1|70517477:1|52113807:1|11940716:1|71977050:1|11175837:1|74137790:1|64288382:1|73798538:1|34908542:1|53364147:1|12064612:1|77310672:1|64196879:1|48667819:1|75664287:1|34937989:1|51371254:1|17711353:1|58325248:1|40287678:1|40958377:1|39232570:1|77847883:1|76312913:1|75194678:1|15052092:1|3845949:1|34177131:1|58221516:1|20642527:1|7251337:1|36214404:1|9846579:1|29420520:1|60469491:1|1077841:1|62149293:1|44121745:1|22934770:1|24564418:1|66351528:1|44600253:1|43901831:1|5662777:1|47829935:1|21906324:1
MA|72032519:2|7562047:1|18389873:1|77175798:1|56644230:1|49447757:1|11670364:1|17497467:1|26093621:1|45858899:1|47398779:1|10460120:1|49071766:1|3141102:1|58108163:1|35492894:1|75890215:1|66392198:1|77292131:1|32199728:1|73011043:1|15513578:1|27361385:1|64258815:1|12174320:1|48316515:1|62436396:1|39621698:1|41888469:1|7529093:1|7117893:1|68079048:1|5028817:1|64729849:1|25081079:1|550139:1|31258025:1|52852631:1|17481675:1|9185356:1|77660467:1|72126357:1|39418200:1|43521608:1|26230686:1|75921745:1|77386662:1|30224674:1|14173238:1|19416429:1
HN|1910448:1|77548660:1|71302938:1|71464451:1|71416057:1|31870965:1|14736159:1|51752654:1|60422223:1|74959438:1|66532561:1|53276999:1|14313618:1|24423026:1|43082089:1|47292411:1|39181776:1|5688376:1|36036376:1|51661642:1|2242731:1|47255236:1|65746394:1|76882821:1|68821443:1|49094763:1|75043144:1|57942941:1|57726759:1|48884355:1|72494356:1|78384664:1|2657547:1|29804474:1|68605909:1|39892507:1|57474566:1|13685167:1|44845012:1|4760000:1|13265005:1|16417663:1|30782848:1|11211833:1|20037761:1|65466551:1|56531266:1|78200243:1|65145711:1|52488158:1
MP|55874940:2|51550501:1|54760100:1|55792082:1|32853987:1|14095380:1|17773285:1|9562211:1|522060:1|11937646:1|26349644:1|14062336:1|44109238:1|60878754:1|10315605:1|30650475:1|16774864:1|46321057:1|15971075:1|41140809:1|14141078:1|3142707:1|38122135:1|51824293:1|14837450:1|1643205:1|35748807:1|41682247:1|56993470:1|47646234:1|16328724:1|42799787:1|32820420:1|27369952:1|6451116:1|34695748:1|65290994:1|25274298:1|7691842:1|36188909:1|60341625:1|48496705:1|38473716:1|31815365:1|64821732:1|14932547:1|50403488:1|8511612:1|62696071:1|38216552:1
PF|44427877:1|51901870:1|15820490:1|8479103:1|23851476:1|62129078:1|27294413:1|68898561:1|4075464:1|77310635:1|30722898:1|77612104:1|39401309:1|32401369:1|10849061:1|37984499:1|69422440:1|38088838:1|30136152:1|76933466:1|50462785:1|75963773:1|50928530:1|47272374:1|59031984:1|74261782:1|32666947:1|30751442:1|39185647:1|345459:1|65394278:1|73701268:1|77967371:1|36918270:1|43959655:1|60674282:1|8263288:1|24706911:1|47981266:1|41735751:1|45233418:1|6529190:1|71876713:1|66060440:1|32220517:1|23919380:1|24772710:1|3851555:1|68332714:1|16366587:1
SC|26510673:2|79793925:2|64071381:1|26798234:1|61951326:1|21456803:1|76790282:1|14217037:1|40682799:1|77162650:1|72737250:1|5902710:1|66349034:1|59359424:1|30529974:1|41440142:1|73775671:1|48592494:1|282722:1|28318180:1|11267825:1|26264996:1|73963899:1|44988681:1|46974635:1|72831007:1|74071053:1|39711192:1|62200114:1|76321013:1|78118537:1|4129200:1|75986263:1|74680103:1|18545210:1|6864985:1|1238761:1|70446146:1|8025330:1|11773268:1|73237286:1|45393247:1|69817656:1|22476929:1|42310044:1|72625723:1|27517110:1|50736432:1|75543571:1|74488022:1
LB|36744770:1|56515105:1|48268694:1|22946588:1|18240314:1|37090928:1|21503550:1|57394956:1|34089509:1|29815503:1|28035358:1|5443805:1|71374163:1|18123280:1|42946075:1|55687356:1|25804832:1|63515743:1|2235792:1|34406288:1|74325872:1|16305028:1|75263665:1|60562270:1|76669383:1|20679360:1|39241669:1|41452945:1|73916899:1|44718237:1|41554326:1|29712674:1|71940686:1|6296444:1|49599009:1|33846011:1|17727786:1|57470871:1|10914217:1|58562192:1|28556063:1|24711660:1|22132175:1|64292422:1|37136639:1|49601333:1|66926679:1|74858874:1|56085646:1|59792714:1
KH|24236810:1|70172529:1|67558628:1|64423236:1|51659096:1|15188581:1|1545961:1|49510073:1|18686666:1|36975701:1|27198398:1|44124559:1|13630200:1|74544213:1|15115435:1|13375088:1|63432034:1|52981811:1|49913923:1|70365534:1|18089629:1|60175483:1|24711929:1|7072763:1|45744857:1|63714410:1|55211699:1|43353154:1|33646773:1|62168229:1|17600140:1|14010696:1|60127299:1|743728:1|21508141:1|41951811:1|75680438:1|78457425:1|58770037:1|63023945:1|70218065:1|34320814:1|64294016:1|8322567:1|44987396:1|17765353:1|78922273:1|36171215:1|48535235:1|58821366:1
ET|20088969:1|13271233:1|35092265:1|51137450:1|32328138:1|73859237:1|19348084:1|3071729:1|48913189:1|2416534:1|30265165:1|52158523:1|63106955:1|54116592:1|39265859:1|38725800:1|59102121:1|54485359:1|74425575:1|49042239:1|18371977:1|42866259:1|10262167:1|48088064:1|4263407:1|43079056:1|22227587:1|16630538:1|70640499:1|74750838:1|57058455:1|34000284:1|13875327:1|31211435:1|4946674:1|2552809:1|19626375:1|66909535:1|8172099:1|31423977:1|79342853:1|50476270:1|48870637:1|21497639:1|66683553:1|57284291:1|69010782:1|28514788:1|52739912:1|41089570:1
VC|76175025:1|14341484:1|63434070:1|47752800:1|7412932:1|36112113:1|50475088:1|50570895:1|31096909:1|49290176:1|9133062:1|63373671:1|58952167:1|45594156:1|3887641:1|72224136:1|5846156:1|26889556:1|59095930:1|41209893:1|52102962:1|9996886:1|64408355:1|24328391:1|48188331:1|50264543:1|77798456:1|53322164:1|64470794:1|23439054:1|29208943:1|18057915:1|12186873:1|31064364:1|48890764:1|19725309:1|77011750:1|67255707:1|51637726:1|65540887:1|67313586:1|8161121:1|4848608:1|27334971:1|77659215:1|65160546:1|15409667:1|75915179:1|50824988:1|64975692:1
TW|37962304:1|14497016:1|21321972:1|19809709:1|29478760:1|22475505:1|70029725:1|10094376:1|13816268:1|18115172:1|6923605:1|76980740:1|17428382:1|627310:1|10236931:1|23217201:1|62104691:1|41183809:1|4230314:1|24661379:1|62321151:1|64930753:1|59473668:1|3262713:1|54455337:1|30496497:1|44522402:1|13301886:1|40325883:1|23256516:1|8450013:1|38766733:1|47137003:1|31410885:1|20503200:1|5801630:1|72284856:1|51255037:1|68017034:1|24574071:1|21046714:1|26140590:1|14223116:1|51852799:1|36605265:1|47863647:1|62552578:1|7404628:1|38145634:1|66329344:1
SR|41081607:1|74114571:1|58096889:1|44028554:1|64776952:1|40945946:1|72631877:1|53660048:1|48399234:1|22006807:1|54161822:1|70034044:1|13714709:1|13700012:1|36356325:1|43140681:1|55408532:1|16324302:1|40525712:1|54432749:1|44991816:1|36250000:1|1254577:1|37719521:1|56285538:1|100364:1|34163189:1|20991722:1|43920149:1|51843888:1|76292705:1|22062806:1|67234961:1|6739869:1|31960169:1|61440271:1|76631198:1|41062120:1|23464647:1|11332237:1|29550471:1|22177825:1|19255559:1|41989728:1|10937123:1|21574529:1|17297232:1|16718318:1|50084872:1|29153529:1
SY|66029172:1|19588030:1|30066742:1|24945711:1|6909219:1|72360087:1|58880354:1|79215423:1|32601779:1|33701360:1|58266408:1|66147556:1|49200281:1|51059147:1|9406886:1|66489306:1|17370555:1|5579593:1|64795696:1|56835033:1|79240429:1|70436475:1|29864422:1|4916967:1|70227446:1|62445017:1|57631867:1|33758893:1|21115397:1|54683094:1|65054422:1|40016229:1|44124722:1|52497626:1|25237417:1|16189989:1|9524661:1|75784329:1|23913305:1|8408955:1|68972531:1|3265447:1|7911986:1|31842829:1|18986807:1|62495492:1|7535182:1|49183692:1|25780698:1|8961774:1
NZ|56741483:1|47069920:1|40030123:1|75897320:1|44099102:1|15867779:1|67131314:1|61057372:1|44151961:1|5330953:1|122073:1|37317829:1|58067129:1|4006172:1|20777008:1|46691061:1|31350358:1|16733098:1|564250:1|59464385:1|43457665:1|57896409:1|57172271:1|72523755:1|74388226:1|70281058:1|64775338:1|11347094:1|17513528:1|32667616:1|28333305:1|65041182:1|75493285:1|25719443:1|20615493:1|60222409:1|64106277:1|24509716:1|30488654:1|39186517:1|75007087:1|2422308:1|76344831:1|61110265:1|18744416:1|58155:1|31699795:1|34230928:1|50993685:1|23902744:1
IT|79846709:1|73563158:1|49097745:1|39553960:1|55690493:1|21570755:1|70464466:1|72799704:1|53941002:1|2070528:1|3378927:1|33568454:1|3096647:1|68887630:1|25679147:1|6243793:1|66388079:1|43897087:1|25902944:1|53990334:1|38202179:1|69963640:1|26700902:1|69443297:1|1192337:1|5213218:1|66400645:1|10931916:1|68581772:1|12304013:1|1389037:1|56175250:1|28480696:1|25209123:1|20924328:1|21461877:1|6364091:1|21042511:1|34965891:1|43226007:1|12490393:1|13524203:1|74117786:1|59002507:1|45995982:1|4061785:1|44573633:1|68625387:1|33800609:1|2434860:1
